month,day,year,deaths,date
12,12,2016,107,2016-12-12
12,13,2016,87,2016-12-13
12,14,2016,70,2016-12-14
12,15,2016,85,2016-12-15
12,16,2016,78,2016-12-16
12,17,2016,83,2016-12-17
12,18,2016,99,2016-12-18
12,19,2016,78,2016-12-19
12,20,2016,84,2016-12-20
12,21,2016,91,2016-12-21
12,22,2016,109,2016-12-22
12,23,2016,96,2016-12-23
12,24,2016,125,2016-12-24
12,25,2016,85,2016-12-25
12,26,2016,107,2016-12-26
12,27,2016,114,2016-12-27
12,28,2016,95,2016-12-28
12,29,2016,88,2016-12-29
12,30,2016,94,2016-12-30
12,31,2016,120,2016-12-31
1,1,2017,107,2017-01-01
1,2,2017,108,2017-01-02
1,3,2017,115,2017-01-03
1,4,2017,81,2017-01-04
1,5,2017,79,2017-01-05
1,6,2017,90,2017-01-06
1,7,2017,116,2017-01-07
1,8,2017,108,2017-01-08
1,9,2017,81,2017-01-09
1,10,2017,85,2017-01-10
1,11,2017,77,2017-01-11
1,12,2017,75,2017-01-12
1,13,2017,84,2017-01-13
1,14,2017,103,2017-01-14
1,15,2017,104,2017-01-15
1,16,2017,103,2017-01-16
1,17,2017,85,2017-01-17
1,18,2017,94,2017-01-18
1,19,2017,91,2017-01-19
1,20,2017,88,2017-01-20
1,21,2017,102,2017-01-21
1,22,2017,90,2017-01-22
1,23,2017,95,2017-01-23
1,24,2017,87,2017-01-24
1,25,2017,96,2017-01-25
1,26,2017,94,2017-01-26
1,27,2017,81,2017-01-27
1,28,2017,99,2017-01-28
1,29,2017,97,2017-01-29
1,30,2017,97,2017-01-30
1,31,2017,82,2017-01-31
2,1,2017,93,2017-02-01
2,2,2017,88,2017-02-02
2,3,2017,68,2017-02-03
2,4,2017,76,2017-02-04
2,5,2017,71,2017-02-05
2,6,2017,81,2017-02-06
2,7,2017,94,2017-02-07
2,8,2017,82,2017-02-08
2,9,2017,105,2017-02-09
2,10,2017,79,2017-02-10
2,11,2017,89,2017-02-11
2,12,2017,86,2017-02-12
2,13,2017,67,2017-02-13
2,14,2017,86,2017-02-14
2,15,2017,85,2017-02-15
2,16,2017,73,2017-02-16
2,17,2017,86,2017-02-17
2,18,2017,87,2017-02-18
2,19,2017,89,2017-02-19
2,20,2017,84,2017-02-20
2,21,2017,78,2017-02-21
2,22,2017,81,2017-02-22
2,23,2017,79,2017-02-23
2,24,2017,82,2017-02-24
2,25,2017,75,2017-02-25
2,26,2017,76,2017-02-26
2,27,2017,91,2017-02-27
2,28,2017,84,2017-02-28
3,1,2017,73,2017-03-01
3,2,2017,89,2017-03-02
3,3,2017,57,2017-03-03
3,4,2017,90,2017-03-04
3,5,2017,92,2017-03-05
3,6,2017,78,2017-03-06
3,7,2017,78,2017-03-07
3,8,2017,81,2017-03-08
3,9,2017,93,2017-03-09
3,10,2017,97,2017-03-10
3,11,2017,95,2017-03-11
3,12,2017,81,2017-03-12
3,13,2017,89,2017-03-13
3,14,2017,69,2017-03-14
3,15,2017,69,2017-03-15
3,16,2017,82,2017-03-16
3,17,2017,91,2017-03-17
3,18,2017,70,2017-03-18
3,19,2017,82,2017-03-19
3,20,2017,82,2017-03-20
3,21,2017,76,2017-03-21
3,22,2017,89,2017-03-22
3,23,2017,73,2017-03-23
3,24,2017,78,2017-03-24
3,25,2017,88,2017-03-25
3,26,2017,80,2017-03-26
3,27,2017,88,2017-03-27
3,28,2017,67,2017-03-28
3,29,2017,73,2017-03-29
3,30,2017,72,2017-03-30
3,31,2017,72,2017-03-31
4,1,2017,89,2017-04-01
4,2,2017,94,2017-04-02
4,3,2017,81,2017-04-03
4,4,2017,92,2017-04-04
4,5,2017,57,2017-04-05
4,6,2017,72,2017-04-06
4,7,2017,80,2017-04-07
4,8,2017,88,2017-04-08
4,9,2017,86,2017-04-09
4,10,2017,88,2017-04-10
4,11,2017,86,2017-04-11
4,12,2017,82,2017-04-12
4,13,2017,74,2017-04-13
4,14,2017,77,2017-04-14
4,15,2017,74,2017-04-15
4,16,2017,80,2017-04-16
4,17,2017,79,2017-04-17
4,18,2017,73,2017-04-18
4,19,2017,82,2017-04-19
4,20,2017,84,2017-04-20
4,21,2017,70,2017-04-21
4,22,2017,71,2017-04-22
4,23,2017,84,2017-04-23
4,24,2017,73,2017-04-24
4,25,2017,90,2017-04-25
4,26,2017,81,2017-04-26
4,27,2017,65,2017-04-27
4,28,2017,64,2017-04-28
4,29,2017,97,2017-04-29
4,30,2017,79,2017-04-30
5,1,2017,62,2017-05-01
5,2,2017,93,2017-05-02
5,3,2017,73,2017-05-03
5,4,2017,80,2017-05-04
5,5,2017,62,2017-05-05
5,6,2017,59,2017-05-06
5,7,2017,87,2017-05-07
5,8,2017,70,2017-05-08
5,9,2017,87,2017-05-09
5,10,2017,57,2017-05-10
5,11,2017,69,2017-05-11
5,12,2017,78,2017-05-12
5,13,2017,86,2017-05-13
5,14,2017,81,2017-05-14
5,15,2017,85,2017-05-15
5,16,2017,94,2017-05-16
5,17,2017,85,2017-05-17
5,18,2017,74,2017-05-18
5,19,2017,77,2017-05-19
5,20,2017,70,2017-05-20
